COUNTRY,Universal_Govt_Funded,Universal_Public_Insurance,Universal_Public_Private_Ins,Non_Universal,Central_South_America,DEATHS_PER_1M_23JUN2022,CONFIRMED_TOTAL_23JUN2022,CONFIRMED_CFR_23JUN2022,TESTS_TOTAL_23JUN2022,TESTS_PER_1M_23JUN2022,CONFIRMED_PER_1M_23JUN2022,DEATHS_TOTAL_23JUN2022,legatumRank2020_PROSPERITY,legatumRank2019_PROSPERITY,pop2022,ceoworldRank_HEALTHCARE_SYSTEM,Fragility_Index,Weak Security Apparatus,Factionalized Elites,Group Grievance,Economy Fragility,Economic Inequality,Human Flight and Brain Drain,Fragile State Legitimacy,Fragile Public Services,Fragile Human Rights,Demographic Pressures,Refugees and IDPs,External Intervention,LN_DEATHS_PER_1M_23JUN2022,LN_CONFIRMED_PER_1M_23JUN2022,Quality_Healthcare_System,LN_POP,stringency_index_mean,population_mean,population_density_mean,median_age_mean,aged_65_older_mean,aged_70_older_mean,gdp_per_capita_mean,total_vaccinations_per_hundred_max,people_vaccinated_per_hundred_max,people_fully_vaccinated_per_hundred_max,LN_POP_DENSITY,LN_GDP_PC,LN_TOTAL_VAX_P100,LN_PEOPLE_VAX_P100,LN_FULLY_VAX_P100,LN_FRAGILITY_INDEX,LN_QUAL_HC_INDEX,LN_STRINGENCY_INDEX,LN_TESTS_PER_1M_23JUN2022,INT_Quality_HC_BY_LN_POP,INT_Quality_HC_BY_TOTAL_VAX,INT_Quality_HC_BY_AGED_70LUS,LN_AGED65,LN_AGED70
Latvia,0,1,0,0,0,3039,832884,0.70%,7307386,3793006,432321,5855,32,32,1848.84,48,44,2.6,4.3,8.3,3.7,3.5,5.5,2.2,3.9,2.4,3,1.9,2.7,8.019283793,12.97692365,42,7.522313694,46.89,1866934,31.21,43.9,19.75,14.14,25063.85,154.98,72.09,69.93,3.440738556,10.12918185,5.043296076,4.277915338,4.247494742,3.784189634,3.737669618,3.85,15.149,315.94,211.82,593.88,2.98,2.65
Lebanon,0,0,0,0,0,1527,1105959,0.95%,4795578,700194,161479,10457,105,104,6684.85,45,89,7.5,9.6,7.9,9,5.4,6.2,7.7,5.8,7,5.2,8.8,8.9,7.331060305,11.99213038,45,8.807599051,61.62,6769151,594.56,31.1,8.51,5.43,13367.57,83.67,39.83,35.04,6.387821636,9.500586903,4.42688049,3.684620397,3.556490266,4.48863637,3.80666249,4.12,13.459,396.34,199.21,244.35,2.14,1.69
Lithuania,0,1,0,0,0,3285,1066094,0.86%,10002012,3585551,382177,9163,34,34,2661.71,31,38.7,2.8,3,3.3,3.7,4.1,5.2,1.5,3.7,2.2,3.4,1.8,4,8.097121931,12.85363913,59,7.886724052,45.31,2689862,45.13,43.5,19,13.78,29524.27,166.87,72.58,69.76,3.809547214,10.29296792,5.117215066,4.284689402,4.24506078,3.6558396,4.077537444,3.81,15.092,465.32,301.92,813.02,2.94,2.62
Malaysia,1,0,0,0,0,1134,4549847,0.79%,60719673,1925861,144309,35742,40,42,33181.07,34,56.9,5.4,6.8,5.4,3.3,4.1,4.5,6.3,4.3,6.8,4.4,3,2.6,7.033506484,11.87971211,56,10.40973481,62.46,32776195,96.25,29.9,6.29,3.41,26808.16,217.18,85.51,83.1,4.566948973,10.1964616,5.380726503,4.448633328,4.420044702,4.041295341,4.025351691,4.13,14.471,582.95,301.32,190.96,1.84,1.23
Mexico,0,0,1,0,1,2579,5906953,5.51%,16341791,129501,46810,325487,68,68,131562.77,29,69.9,8.5,5.4,6.3,5,5.3,4.9,5.5,6.9,5.8,6.7,5,4.6,7.855157006,10.75385213,61,11.78723936,48.57,130262220,66.44,29.3,6.86,4.32,17336.47,160.47,67.79,61.37,4.196299285,9.760567654,5.078107009,4.216414691,4.116921116,4.247065649,4.110873864,3.88,11.771,719.02,309.76,263.52,1.93,1.46
Morocco,0,0,0,0,0,447,1195883,1.35%,11841875,328675,33192,16094,96,94,37772.76,83,71.5,4.9,6.6,8.5,6.2,5,7.5,6.8,5.1,5.6,4.8,5.3,5.2,6.102558595,10.41006416,7,10.53934349,67.51,37344787,80.08,29.6,6.77,4.21,7485.01,146.72,66.8,62.74,4.383026135,8.920657633,4.988526009,4.201703081,4.138999203,4.26969745,1.945910149,4.21,12.703,73.78,34.92,29.47,1.91,1.44
Nepal,0,0,0,0,0,426,979457,1.22%,5747503,204626,34871,11952,114,114,30225.58,61,82.2,5.3,8.8,9.4,5.3,5.8,6.2,6.4,7.3,6.5,8.1,7.2,5.9,6.054439346,10.45941082,29,10.31644386,61,29674920,204.43,25,5.81,3.21,2442.8,153.61,76.32,68.06,5.320225619,7.800900201,5.034416923,4.334935027,4.220389669,4.409155302,3.36729583,4.11,12.229,299.18,146,93.09,1.76,1.17
Netherlands,0,0,0,0,0,1297,8147612,0.27%,21107399,1224965,472846,22350,6,6,17211.45,11,24.1,2.2,3.4,3.6,2.2,1.6,2.4,0.5,1.3,0.7,3.1,2.6,0.5,7.167809184,13.06652503,79,9.753330139,53.71,17173094,508.54,43.2,18.78,11.88,48472.55,194.06,74.56,69.76,6.231543875,10.78875294,5.26816739,4.31160417,4.24506078,3.18221184,4.369447852,3.98,14.018,770.51,416.19,938.52,2.93,2.47
New Zealand,1,0,0,0,0,282,1294657,0.11%,7264156,1486881,265000,1380,7,7,4898.2,16,18.4,1.4,1.4,2.6,3.4,2.1,1.6,0.5,1.4,0.5,1.4,1.6,0.5,5.641907071,12.4874851,74,8.49662307,44.23,5126300,18.21,37.9,15.32,9.72,36085.84,216.79,83.73,80.21,2.901970894,10.49365582,5.378929143,4.427597336,4.384648195,2.912350665,4.304065093,3.79,14.212,628.75,398.04,719.28,2.73,2.27
Nigeria,0,0,0,1,0,16,256711,1.22%,5279608,26954,1311,3144,144,146,216746.93,73,98,8.8,9.6,8.8,8.6,7.7,6.5,8.4,9.3,8.7,9.3,6.6,5.7,2.772588722,7.178545484,17,12.28648573,52,211400704,209.59,18.1,2.75,1.45,5338.45,21.94,12.96,7.96,5.345153241,8.582690628,3.088311455,2.561867691,2.074429,4.584967479,2.833213344,3.95,10.202,208.87,52.5,24.65,1.01,0.37
Norway,1,0,0,0,0,617,1442891,0.23%,11002430,2070330,271509,3280,2,1,5511.37,15,16.6,1.8,1.1,3.3,1.9,1,0.8,0.5,1.6,0.5,1.4,2.2,0.5,6.424869024,12.51175057,75,8.61456851,43.12,5465629,14.46,39.7,16.82,10.81,64800.06,208.6,79.43,74.03,2.671386217,11.07906181,5.340418543,4.374876131,4.304470416,2.809402695,4.317488114,3.76,14.543,646.09,400.53,810.75,2.82,2.38
Pakistan,0,0,0,0,0,143,1532732,1.98%,28887489,136124,7223,30385,138,139,229488.99,88,90.5,7.9,9,8.8,7.1,5.3,6.2,7.3,8,7.3,7.9,7.5,8.2,4.96284463,8.885025658,2,12.34361033,62.56,225199929,255.57,23.5,4.49,2.78,5034.71,116.86,60.62,55.71,5.543496345,8.524111207,4.760976637,4.104624872,4.020159664,4.505349851,0.693147181,4.14,11.821,24.69,9.52,5.56,1.5,1.02
Panama,0,0,0,0,1,1996,910522,0.92%,6513606,1559446,217991,8335,49,48,4446.96,56,48.7,5.2,2.2,5.6,3.7,6.2,4,3.1,5.4,3.8,5.3,2.2,2,7.598900457,12.29220906,34,8.399975996,65.57,4381583,55.13,29.7,7.92,5.03,22267.04,190.04,79.46,71.02,4.009694033,10.01086284,5.247234576,4.37525375,4.262961528,3.88567903,3.526360525,4.18,14.26,285.6,178.41,171.02,2.07,1.62
Peru,0,0,1,0,1,6672,3605614,5.92%,31271035,977548,112713,213425,61,57,33684.21,62,71.4,6.1,7.4,8.6,4.8,6.4,6.2,7.2,7.4,3.5,7.4,4.1,2.3,8.805674944,11.63260004,28,10.42478446,73.64,33359415,25.13,29.1,7.15,4.45,12236.71,230.04,88.31,82.53,3.224062352,9.412195729,5.438253207,4.480853351,4.413161864,4.268297869,3.33220451,4.3,13.793,291.89,152.27,124.6,1.97,1.49
Philippines,0,0,0,0,0,567,3698509,1.64%,30635153,287244,34678,60495,83,82,112508.99,38,82.4,9.3,8,7.3,5.3,5.2,5.4,7.4,6.8,7.8,7.6,6.3,6,6.340359304,10.45386076,52,11.63078841,66.95,111046910,351.87,25.2,4.8,2.66,7599.19,136.81,67.5,63.26,5.863261789,8.935796942,4.918593102,4.212127598,4.147253218,4.411585437,3.951243719,4.2,12.568,604.8,255.77,138.32,1.57,0.98
Poland,0,1,0,0,0,3065,6012289,1.94%,36449199,959731,158308,116405,36,36,37739.79,51,43.1,2.4,4.2,5.6,3.8,2.4,4.6,4.3,3,4,3.6,2.4,2.8,8.027802848,11.97229778,39,10.53847025,50.37,37797000,124.03,41.8,16.76,10.2,27216.45,144.4,60.14,59.56,4.820523472,10.21157685,4.972587226,4.096675178,4.086984208,3.763522997,3.663561646,3.92,13.774,411,193.93,397.8,2.82,2.32
Portugal,1,0,0,0,0,2334,5109412,0.47%,43527258,4233443,496939,23995,27,26,10140.57,22,26.8,0.5,2.5,1.3,4.8,2,2.8,0.8,2.9,1.1,3.3,1.8,3,7.755338813,13.11622256,68,9.224299489,54.53,10167923,112.37,46.2,21.5,14.92,27936.9,240.1,95.62,87.28,4.721796998,10.23770367,5.481055503,4.560382003,4.469121342,3.288401888,4.219507705,4,15.259,627.25,372.71,1014.56,3.07,2.7
Qatar,0,1,0,0,0,244,378176,0.18%,3625061,1303193,135953,678,45,44,2979.92,33,44.1,1.4,5,3.4,1.6,4.7,1.5,6.4,2.9,6.1,3.4,1.4,6.3,5.497168225,11.82006452,57,7.999651734,64.06,2930524,227.32,31.9,1.31,0.62,116935.6,237.41,90.2,90.2,5.426358716,11.66937863,5.469788604,4.502029427,4.502029427,3.786459782,4.043051268,4.16,14.08,455.98,311.78,35.34,0.27,-0.48
Romania,0,1,0,0,0,3375,2915487,2.25%,23400420,1201628,149712,65726,47,47,19031.34,69,51,2.1,5.7,6,4.5,3.8,5.4,5,4.8,3.6,4.3,2.1,3.7,8.124150603,11.91646873,21,9.853842373,51.12,19127772,85.13,43,17.85,11.69,23313.2,87.97,42.73,42.42,4.4441795,10.056775,4.476995847,3.75490125,3.747619949,3.931825633,3.044522438,3.93,13.999,206.93,94.02,245.49,2.88,2.46
Russia,0,1,0,0,0,2635,18409651,2.07%,273400000,1892329,127422,380711,76,75,145805.95,58,73.6,7.7,8.4,8,5.2,5.2,3.4,8.5,4.3,8.9,4.6,4.6,4.8,7.876638461,11.75525969,32,11.89003191,47.58,145912022,8.82,39.6,14.18,9.39,24765.95,115.31,55.91,50.93,2.17702187,10.117225,4.747624154,4.023743255,3.930452141,4.298645026,3.465735903,3.86,14.453,380.48,151.92,300.48,2.65,2.24
Saudi Arabia,1,0,0,0,0,273,789296,1.16%,43251385,1283426,23421,9195,71,72,35844.91,55,69.7,5.7,8.5,9,4.3,4.7,3.3,7.8,4.4,8.6,4.9,3.8,4.7,5.609471795,10.06138833,35,10.48695686,65.33,35340680,15.32,31.9,3.3,1.85,49045.41,188.74,75.59,70.97,2.729159164,10.80050188,5.240370407,4.325323999,4.262257253,4.244200318,3.555348061,4.18,14.065,367.04,183.41,64.75,1.19,0.62
Singapore,0,1,0,0,0,250,1390558,0.10%,24098157,4273726,246611,1408,15,16,5943.55,24,26.6,0.7,4,2.2,1.6,3,1.9,3.7,1.5,4.5,2.1,0.7,0.7,5.521460918,12.41556748,66,8.690061877,51.04,5453600,7915.73,42.4,12.92,7.05,85535.38,260.36,92.03,91.59,8.976607198,11.35668537,5.562065289,4.522114611,4.517322095,3.280911216,4.189654742,3.93,15.268,573.54,367.1,465.3,2.56,1.95
Slovakia,0,1,0,0,0,3698,1793369,1.12%,7168820,1316102,329239,20142,35,35,5460.19,54,39,1.2,4.7,5.7,4.3,2.6,4.1,3.8,3.2,2.3,2.4,2.6,2.1,8.215547412,12.70453921,36,8.605238867,49.09,5449270,113.13,41.2,15.07,9.17,30155.15,129.83,51.79,50.8,4.7285376,10.314111,4.866225902,3.94719708,3.927896355,3.663561646,3.583518938,3.89,14.09,309.79,175.18,330.12,2.71,2.22
Slovenia,0,1,0,0,0,3215,1033511,0.64%,2679559,1296118,499915,6647,26,27,2078.03,47,28.2,0.5,2,3.6,3.4,2.4,3.6,1.9,2.4,1.1,3.4,2.8,1.1,8.075582637,13.12219336,43,7.639175609,51.12,2078723,102.62,44.5,19.06,12.93,31400.84,144.1,60.89,58.79,4.631032846,10.35458992,4.970507503,4.109068958,4.073971772,3.339321978,3.761200116,3.93,14.075,328.48,213.73,555.99,2.95,2.56
South Africa,1,0,0,0,0,1760,3990057,2.55%,25655319,444020,69056,101704,87,84,60756.14,53,70,6.4,6.3,5.9,8.3,6.7,4.9,5.9,6.9,4.2,7.1,4.2,3.2,7.473069088,11.14267305,37,11.01462343,53.72,60041996,46.75,27.3,5.34,3.05,12294.88,61.13,36.62,31.66,3.844814256,9.416938195,4.113002744,3.600594539,3.455054054,4.248495242,3.610917913,3.98,13.004,407.54,152.18,112.85,1.68,1.12
South Korea,0,1,0,0,0,473,18305783,0.13%,15804065,305212,353526,24488,28,29,51329.9,1,32.5,2.1,3.9,2.3,1.9,2.2,3.5,3,2.2,3.1,2.3,1.6,4.4,6.159095388,12.77571231,89,10.84602871,49.04,51305184,527.97,43.4,13.91,8.62,35938.37,245.38,87.84,86.97,6.269039464,10.48956081,5.502808029,4.475516978,4.465563232,3.481240089,4.48863637,3.89,12.629,965.3,489.75,767.18,2.63,2.15
Spain,1,0,0,0,0,2303,12613634,0.85%,471036328,10081304,269962,107604,24,25,46719.14,8,44.8,3.4,6.9,6.7,5.3,2.9,1.2,6.9,2.9,1.2,3.5,2.2,1.7,7.7419679,12.50603649,82,10.75190921,55.06,46745211,93.11,45.5,19.44,13.8,34272.36,203.2,88.24,86.72,4.53378159,10.44209448,5.314190716,4.480060375,4.462684538,3.802208139,4.406719247,4.01,16.126,881.66,435.76,1131.6,2.97,2.62
Sri Lanka,1,0,0,0,0,762,664047,2.49%,6486117,299313,30644,16520,84,77,21575.84,40,80.5,6.8,9.1,8.6,5.6,5.9,6.7,6.3,4.7,8.2,5.7,7.2,5.7,6.635946556,10.33019216,50,9.979329449,57.86,21497306,341.95,34.1,10.07,5.33,11669.08,184.15,79.42,67.56,5.834664528,9.364697888,5.215750643,4.374750226,4.213016092,4.388257184,3.912023005,4.06,12.609,498.97,260.79,266.5,2.31,1.67
Sweden,1,0,0,0,0,1872,2515769,0.76%,18653548,1831801,247052,19060,4,4,10218.97,28,21.4,2.7,1.8,1.7,1.9,1.7,0.7,0.5,1.4,0.9,3.3,4.3,0.5,7.534762657,12.41735412,62,9.232001076,45.29,10160159,24.72,41,19.99,13.43,46949.28,222.74,77.14,75.29,3.207612633,10.75682315,5.406005172,4.345621953,4.321347324,3.063390922,4.127134385,3.81,14.421,572.38,335.17,832.66,3,2.6
Switzerland,0,0,0,0,0,1641,3708891,0.38%,21277734,2498400,435493,13979,3,3,8773.64,18,19.9,1.6,1,2.7,2,1.8,1.1,0.5,1.6,0.8,3.2,3.1,0.5,7.403061091,12.984234,72,9.079507051,45.69,8715494,214.24,43.1,18.44,12.64,57410.17,180.69,69.84,68.86,5.367096882,10.95797674,5.196782856,4.246206912,4.232075458,2.990719732,4.276666119,3.82,14.731,653.72,374.17,910.08,2.91,2.54
Taiwan,1,0,0,0,0,245,3487599,0.17%,20513906,862637,146658,5817,20,22,23888.6,2,,,,,,,,,,,,,,5.501258211,11.89585862,88,10.08115664,31.9,23855008,673,42.2, ,8.35,33775,240.37,88.7,80.6,6.51174533,10.42747616,5.482179403,4.485259889,4.38949865,,4.477336814,3.46,13.668,887.14,482.43,734.8,,2.12
Thailand,0,0,0,0,0,440,4507228,0.68%,17270775,248756,64919,30546,64,65,70078.2,13,70.9,8.2,9.7,7.3,3.9,4.5,4.1,7.7,4,7.9,5.9,5.1,2.6,6.086774727,11.08089562,77,11.15736704,49.72,69950844,135.13,40.1,11.37,6.89,16277.67,197.84,81,75.46,4.906237278,9.697549509,5.287458623,4.394449155,4.323602715,4.261270434,4.343805422,3.91,12.424,859.12,407.13,530.53,2.43,1.93
Tunisia,0,0,0,0,0,2479,1046703,2.74%,4658280,402784,90504,28670,99,95,12046.66,59,69.2,7.1,7.5,7.1,7.8,4.5,5.8,5.9,5,5.5,4.3,3.5,5.2,7.815610532,11.41314933,31,9.396542722,57.58,11935764,74.23,32.7,8,5.07,10849.3,110.53,60.61,53.42,4.307168381,9.291855841,4.705286977,4.104459896,3.978185208,4.237000863,3.433987204,4.05,12.906,291.29,145.86,157.17,2.08,1.62
Turkey,0,0,1,0,0,1203,15085742,0.66%,162743369,1976967,183258,98996,94,92,85561.98,65,79.7,7.2,8.8,9.7,5.3,4.7,4.1,7.3,5.4,8,5.1,8.4,5.7,7.092573716,12.11865028,25,11.3569963,56.75,85042736,104.91,31.6,8.15,5.06,25129.34,173.81,68.03,62.42,4.65310284,10.13179137,5.157962749,4.219948784,4.133885737,4.378269586,3.218875825,4.04,14.497,283.92,128.95,126.5,2.1,1.62
UAE,0,0,0,0,0,240,933688,0.25%,168341368,17479191,96947,2309,42,40,10081.79,20,40.3,2.5,3.6,2.8,2.4,3.3,2.2,6.4,2.9,7,3.6,1.8,1.8,5.480638923,11.48191972,70,9.218486105,51.64,9991083,112.44,34,1.14,0.53,67293.48,249.44,100,98.01,4.722419746,11.11681863,5.519218405,4.605170186,4.585069514,3.696351469,4.248495242,3.94,16.677,645.29,386.35,37.1,0.13,-0.63
Ukraine,1,0,0,0,0,2434,5015994,2.17%,19521252,437475,112409,108622,92,96,43192.12,81,69.8,6.7,8,5.7,6.8,3.2,5.8,6.8,4.5,6,4.3,4.2,7.8,7.797291274,11.62989928,9,10.67341335,62.35,43466822,77.39,41.4,16.46,11.13,7894.39,72.86,36.29,34.86,4.348857573,8.97390766,4.288539792,3.591542221,3.55134004,4.24563401,2.197224577,4.13,12.989,96.06,38.6,100.17,2.8,2.41
United Kingdom,1,0,0,0,0,2705,22576354,0.80%,522526476,7858842,339550,179859,13,10,68497.91,10,41.5,3.5,5.8,6.1,5.2,3.5,2.5,3.2,2.6,2.1,3.6,1.7,1.7,7.902857191,12.73537649,80,11.13455851,53.06,68207114,272.9,40.8,18.52,12.53,39753.24,218.57,78.51,73.43,5.609105428,10.59044663,5.387106329,4.363226005,4.296332571,3.725693427,4.382026635,3.97,15.877,890.76,430.97,1002.4,2.92,2.53
United States,0,0,0,1,0,3180,88563086,1.17%,1045197150,3194686,270697,1040230,18,18,334805.27,30,44.6,4.3,7.3,6.5,2.1,3.7,1.8,3.5,2.7,4.4,5,2.3,1,8.064636476,12.50875539,60,12.72130436,57.67,332915074,35.61,38.3,15.41,9.73,54225.45,178.83,78.14,66.9,3.572626497,10.90090563,5.186435634,4.35850209,4.203198967,3.797733859,4.094344562,4.05,14.977,763.28,311.19,583.8,2.74,2.28
Uruguay,0,0,0,0,0,2078,951948,0.77%,6114822,1737880,270551,7312,39,39,3496.02,39,35.9,4.2,2.7,2.4,4.4,3.3,3.6,0.5,3.8,3,3.4,1.9,2.7,7.639161172,12.5082159,51,8.159380458,47.37,3485152,19.75,35.6,14.66,10.36,20551.41,247.53,85.97,82.8,2.983153491,9.930684831,5.511531787,4.453998398,4.416428061,3.580737295,3.931825633,3.86,14.368,416.13,281.09,528.36,2.69,2.34
Venezuela,0,0,0,0,0,178,525176,1.09%,3359014,104254,16300,5725,146,145,29266.99,89,92.6,7.3,9.3,7,9.8,6.7,6.5,9.5,8.9,9.1,6.5,6.3,5.7,5.18178355,9.698920387,1,10.28421554,69.13,28704947,36.25,29,6.61,3.91,16745.02,131.9,77.19,49.77,3.590439381,9.72585618,4.88204406,4.346269915,3.907412393,4.528289142,0,4.24,11.555,10.28,4.88,3.91,1.89,1.36
Vietnam,0,0,0,0,0,451,10740595,0.40%,85824737,898308,112419,43084,73,81,98953.54,66,63.3,3.9,6.9,5.2,3.9,3.8,5.3,8.4,4.3,7.8,5,4.5,4.3,6.11146734,11.62998824,24,11.50240573,62.78,98168829,308.13,32.6,7.15,4.72,6171.88,230.05,87.14,81.27,5.730521772,8.727758771,5.438296677,4.467516021,4.397776945,4.147885329,3.17805383,4.14,13.708,276.06,130.52,113.28,1.97,1.55
