COUNTRY,Universal_Govt_Funded,Universal_Public_Insurance,Universal_Public_Private_Ins,Non_Universal,Central_South_America,DEATHS_PER_1M_23JUN2022,CONFIRMED_TOTAL_23JUN2022,CONFIRMED_CFR_23JUN2022,TESTS_TOTAL_23JUN2022,TESTS_PER_1M_23JUN2022,CONFIRMED_PER_1M_23JUN2022,DEATHS_TOTAL_23JUN2022,legatumRank2020_PROSPERITY,legatumRank2019_PROSPERITY,pop2022,ceoworldRank_HEALTHCARE_SYSTEM,Fragility_Index,Weak Security Apparatus,Factionalized Elites,Group Grievance,Economy Fragility,Economic Inequality,Human Flight and Brain Drain,Fragile State Legitimacy,Fragile Public Services,Fragile Human Rights,Demographic Pressures,Refugees and IDPs,External Intervention,LN_DEATHS_PER_1M_23JUN2022,LN_CONFIRMED_PER_1M_23JUN2022,Quality_Healthcare_System,LN_POP,stringency_index_mean,population_mean,population_density_mean,median_age_mean,aged_65_older_mean,aged_70_older_mean,gdp_per_capita_mean,total_vaccinations_per_hundred_max,people_vaccinated_per_hundred_max,people_fully_vaccinated_per_hundred_max,LN_POP_DENSITY,LN_GDP_PC,LN_TOTAL_VAX_P100,LN_PEOPLE_VAX_P100,LN_FULLY_VAX_P100,LN_FRAGILITY_INDEX,LN_QUAL_HC_INDEX,LN_STRINGENCY_INDEX,LN_TESTS_PER_1M_23JUN2022,INT_Quality_HC_BY_LN_POP,INT_Quality_HC_BY_TOTAL_VAX,INT_Quality_HC_BY_AGED_70LUS,LN_AGED65,LN_AGED70
Colombia,0,1,0,0,1,2818,6131657,2.28%,35304331,711083,123501,139918,74,71,51512.76,35,79.3,6.9,7.6,7.5,6,6.4,5,5.5,6.6,6.8,8,7.6,5.4,7.943782692,11.72400453,55,10.84958482,64.52,51265841,44.22,32.2,7.65,4.31,13254.95,166.1,82.64,70.38,3.789177175,9.492126347,5.112590017,4.414493825,4.253909132,4.373238129,4.007333185,4.17,13.475,596.73,281.19,237.05,2.03,1.46
Costa Rica,0,0,0,0,1,1705,904934,0.94%,4659757,932056,181007,8525,38,38,5182.35,50,42.5,3.5,3.8,3,5.2,4.7,3.5,1.3,4.7,1.1,3.5,3.9,4.3,7.44132039,12.10629098,40,8.5530139,54.31,5139053,96.08,33.6,9.47,5.69,15524.99,214.39,86.35,80.62,4.565181178,9.650206263,5.367796786,4.458408805,4.389746758,3.749504076,3.688879454,3.99,13.745,342.12,214.71,227.6,2.25,1.74
Croatia,0,1,0,0,0,3923,1143354,1.40%,4922712,1203774,279590,16043,43,43,4059.29,42,49.8,2.6,4.4,4.9,5.7,2.8,5.7,2.3,3.1,2.6,4.6,6.6,4.5,8.274611946,12.54107952,48,8.30876336,43.05,4081657,73.73,44,19.72,13.05,22669.8,128.79,56.72,55,4.300409772,10.02878892,4.858183171,4.038126882,4.007333185,3.908014984,3.871201011,3.76,14.001,398.82,233.19,626.4,2.98,2.57
Cyprus,0,0,1,0,0,900,497454,0.22%,9477138,7968903,418287,1070,33,33,1223.39,76,57.4,3.5,7.9,5.1,5.6,4.9,3.5,4,3.3,2.7,3.4,5.3,8.2,6.802394763,12.94392308,14,7.109380973,60.11,896005,127.66,37.3,13.42,8.56,32415.13,199.52,74.58,71.98,4.84937048,10.38638057,5.295914482,4.311872375,4.276388303,4.050044303,2.63905733,4.1,15.891,99.53,74.14,119.84,2.6,2.15
Czechia,0,1,0,0,0,3794,3927267,1.03%,55497597,5222962,369601,40310,,,10748.31,14,39.3,2.6,5.3,4.6,4.2,2,3.5,4.1,2.7,2,3,3.2,2.1,8.24117615,12.82017932,76,9.282503812,49.69,10724553,137.18,43.3,19.03,11.58,32605.91,164.71,64.94,64.14,4.921293932,10.39224884,5.104186352,,,,,,,,,,,2.45
Denmark,1,0,0,0,0,1110,3004493,0.21%,127610743,22011545,518244,6436,1,2,5834.95,3,18.8,1.7,1.4,3.7,1.7,1.2,1.3,0.5,1.4,0.9,2.3,2.2,0.5,7.012115294,13.15820145,87,8.671620976,43.58,5813302,136.52,42.3,19.68,12.33,46682.52,227.58,83.13,82.5,4.916471124,10.75112507,5.427501825,4.420405648,4.412798293,2.93385687,4.465908119,3.77,16.907,754.43,472.19,1072.71,2.98,2.51
Dominican Republic,0,0,0,0,1,412,600410,0.73%,3456599,325261,56498,4383,72,76,11056.37,72,64.7,6.1,6.2,4.6,5.1,4.9,6.6,6,7,4.7,6.7,2.6,4.2,6.021023349,10.94196052,18,9.310762011,58.1,10953714,222.87,27.6,6.98,4.42,14600.86,143.76,66.03,54.73,5.406588642,9.58883571,4.968145242,4.190109184,4.002412005,4.169761202,2.890371758,4.06,12.692,167.59,89.43,79.56,1.94,1.49
Ecuador,0,0,0,0,1,2089,898667,3.97%,2470170,144587,52602,35695,89,85,18113.36,25,71.2,5.9,8.2,6.1,6.3,6,4.6,5.7,6.6,4.2,6.9,5.6,5.1,7.644440762,10.87050942,65,9.804405067,65.87,17888474,66.94,28.1,7.1,4.46,10581.94,199.51,84.87,78.29,4.203796696,9.266904053,5.29586436,4.441120674,4.360419881,4.265492818,4.17438727,4.19,11.882,637.29,344.23,289.9,1.96,1.5
Egypt,0,0,0,0,0,250,515645,4.77%,3693367,37525,5239,24613,121,124,106156.69,84,85,7.6,9.1,8.3,7.3,5.1,5.2,8.6,4.7,9.8,6.5,6.1,6.7,5.521460918,8.563885919,6,11.57267149,52.2,104258327,98,25.3,5.16,2.89,10550.21,85.52,47.59,34.92,4.584967479,9.263901044,4.448750267,3.862622655,3.553059731,4.442651256,1.791759469,3.96,10.533,69.44,26.69,17.34,1.64,1.06
Estonia,0,1,0,1,0,1959,579316,0.45%,3402677,2576060,438582,2588,21,21,1321.91,32,39.5,2.3,5.9,7.4,3.2,2.6,4.3,1.5,2.5,1.3,2.9,1.9,3.7,7.580189418,12.99130207,58,7.186832939,39.71,1325188,31.03,42.7,19.45,13.49,29481.25,150.43,65.12,63.96,3.434954478,10.29150975,5.01349786,4.176231722,4.158257888,3.676300672,4.060443011,3.68,14.762,416.84,290.78,782.42,2.97,2.6
